user_id,gender,age,member_type
USER00241,男,53,普通
USER00242,男,58,会员
USER00243,女,24,会员
USER00244,女,48,普通
USER00245,女,29,会员
USER00246,女,48,普通
USER00247,男,43,普通
USER00248,男,27,普通
USER00249,女,23,会员
USER00250,男,53,会员
USER00251,男,51,普通
USER00252,女,37,会员
USER00253,女,37,普通
USER00254,男,57,会员
USER00255,男,31,普通
USER00256,女,60,普通
USER00257,男,29,普通
USER00258,男,18,普通
USER00259,女,36,普通
USER00260,女,63,普通
USER00261,女,22,普通
USER00262,女,58,普通
USER00263,男,45,普通
USER00264,男,59,普通
USER00265,女,27,普通
USER00266,男,37,普通
USER00267,女,46,普通
USER00268,女,62,普通
USER00269,女,50,普通
USER00270,女,23,普通
USER00271,女,65,普通
USER00272,女,19,普通
USER00273,男,61,会员
USER00274,男,29,普通
USER00275,女,35,普通
USER00276,女,58,会员
USER00277,男,48,普通
USER00278,女,38,普通
USER00279,男,39,普通
USER00280,女,36,普通
USER00281,女,53,普通
USER00282,男,38,普通
USER00283,男,43,会员
USER00284,男,60,会员
USER00285,女,44,普通
USER00286,女,57,会员
USER00287,女,21,普通
USER00288,男,36,普通
USER00289,女,25,普通
USER00290,男,63,普通
USER00291,男,53,普通
USER00292,男,25,普通
USER00293,男,59,会员
USER00294,女,63,普通
USER00295,女,44,会员
USER00296,女,33,普通
USER00297,男,42,普通
USER00298,男,22,普通
USER00299,女,39,会员
USER00300,女,18,普通
USER00301,女,55,普通
USER00302,女,27,普通
USER00303,女,40,普通
USER00304,女,47,会员
USER00305,男,62,普通
USER00306,女,32,会员
USER00307,女,20,普通
USER00308,女,63,会员
USER00309,女,42,会员
USER00310,男,49,会员
USER00311,男,50,会员
USER00312,女,24,会员
USER00313,女,24,普通
USER00314,女,18,会员
USER00315,女,59,会员
USER00316,男,48,会员
USER00317,女,39,普通
USER00318,女,59,普通
USER00319,女,61,会员
USER00320,女,38,普通
USER00321,女,52,普通
USER00322,男,33,普通
USER00323,女,32,会员
USER00324,女,24,会员
USER00325,男,46,普通
USER00326,女,19,普通
USER00327,男,36,普通
USER00328,女,27,普通
USER00329,女,54,普通
USER00330,男,28,普通
USER00331,女,57,普通
USER00332,女,55,普通
USER00333,女,58,普通
USER00334,女,60,普通
USER00335,女,36,普通
USER00336,男,22,普通
USER00337,女,55,普通
USER00338,女,62,普通
USER00339,女,30,会员
USER00340,女,24,普通
USER00341,女,54,普通
USER00342,女,19,会员
USER00343,女,35,普通
USER00344,男,56,会员
USER00345,女,32,普通
USER00346,女,32,普通
USER00347,女,61,会员
USER00348,男,58,普通
USER00349,男,37,会员
USER00350,男,55,普通
USER00351,男,23,会员
USER00352,女,65,普通
USER00353,男,26,会员
USER00354,女,51,普通
USER00355,女,28,普通
USER00356,女,36,会员
USER00357,女,25,普通
USER00358,男,27,会员
USER00359,男,61,会员
USER00360,女,53,普通
USER00361,女,18,普通
USER00362,男,47,普通
USER00363,女,55,普通
USER00364,女,24,普通
USER00365,女,19,普通
USER00366,女,57,普通
USER00367,男,58,会员
USER00368,女,59,普通
USER00369,男,20,会员
USER00370,女,49,普通
USER00371,男,52,普通
USER00372,女,41,普通
USER00373,女,55,会员
USER00374,男,44,普通
USER00375,女,57,普通
USER00376,女,20,普通
USER00377,男,46,普通
USER00378,男,41,普通
USER00379,女,52,会员
USER00380,女,21,普通
USER00381,男,25,会员
USER00382,女,23,普通
USER00383,男,21,会员
USER00384,男,26,会员
USER00385,男,22,会员
USER00386,男,55,普通
USER00387,男,39,会员
USER00388,男,35,会员
USER00389,男,26,普通
USER00390,男,25,普通
USER00391,男,26,普通
USER00392,男,55,普通
USER00393,男,34,普通
USER00394,女,51,普通
USER00395,男,48,普通
USER00396,女,50,普通
USER00397,女,50,普通
USER00398,男,64,会员
USER00399,女,47,普通
USER00400,男,21,会员
USER00401,女,45,普通
USER00402,女,63,会员
USER00403,男,23,普通
USER00404,男,22,普通
USER00405,女,42,会员
USER00406,女,47,普通
USER00407,女,24,会员
USER00408,男,59,普通
USER00409,男,45,普通
USER00410,男,44,普通
USER00411,女,43,普通
USER00412,男,38,普通
USER00413,女,41,会员
USER00414,女,22,普通
USER00415,男,23,普通
USER00416,女,26,普通
USER00417,女,60,普通
USER00418,女,60,会员
USER00419,女,64,普通
USER00420,女,56,普通
USER00421,男,54,普通
USER00422,男,60,普通
USER00423,男,40,会员
USER00424,女,25,会员
USER00425,男,45,会员
USER00426,男,56,会员
USER00427,女,19,普通
USER00428,女,39,普通
USER00429,男,27,普通
USER00430,女,22,普通
USER00431,男,23,会员
USER00432,男,42,普通
USER00433,女,28,普通
USER00434,女,54,普通
USER00435,男,27,普通
USER00436,男,61,普通
USER00437,女,60,普通
USER00438,女,44,普通
USER00439,男,40,普通
USER00440,女,61,普通
USER00441,女,51,普通
USER00442,男,32,普通
USER00443,男,18,普通
USER00444,男,26,会员
USER00445,女,38,普通
USER00446,女,65,普通
USER00447,男,42,普通
USER00448,男,50,普通
USER00449,女,22,普通
USER00450,男,45,普通
USER00451,男,38,普通
USER00452,女,63,普通
USER00453,女,25,普通
USER00454,女,28,会员
USER00455,女,62,会员
USER00456,男,45,会员
USER00457,男,45,普通
USER00458,男,43,会员
USER00459,女,32,普通
USER00460,男,22,普通
USER00461,男,51,普通
USER00462,女,40,会员
USER00463,男,33,普通
USER00464,女,30,普通
USER00465,男,59,普通
USER00466,女,47,会员
USER00467,女,61,会员
USER00468,女,58,普通
USER00469,女,22,普通
USER00470,女,35,普通
USER00471,女,50,普通
USER00472,女,46,普通
USER00473,女,36,普通
USER00474,男,57,普通
USER00475,女,47,普通
USER00476,男,46,会员
USER00477,男,38,普通
USER00478,男,21,普通
USER00479,女,63,普通
USER00480,男,20,普通
USER00481,女,46,普通
USER00482,男,41,普通
USER00483,女,42,普通
USER00484,女,61,普通
USER00485,女,22,普通
USER00486,女,36,普通
USER00487,男,39,普通
USER00488,男,40,普通
USER00489,女,26,普通
USER00490,男,37,普通
USER00491,女,26,普通
USER00492,男,59,普通
USER00493,女,19,普通
USER00494,男,31,普通
USER00495,女,30,普通
USER00496,男,27,普通
USER00497,男,50,会员
USER00498,男,60,普通
USER00499,男,56,普通
USER00500,男,29,会员
USER00501,男,64,普通
USER00502,女,41,普通
USER00503,男,46,普通
USER00504,女,32,普通
USER00505,女,48,会员
USER00506,男,41,普通
USER00507,女,47,会员
USER00508,女,50,普通
USER00509,男,30,会员
USER00510,男,34,普通
USER00511,女,41,普通
USER00512,男,63,会员
USER00513,男,36,普通
USER00514,男,35,普通
USER00515,男,45,普通
USER00516,男,46,会员
USER00517,男,44,普通
USER00518,女,33,普通
USER00519,男,41,普通
USER00520,女,24,会员
USER00521,女,27,普通
USER00522,女,48,普通
USER00523,男,63,普通
USER00524,男,23,普通
USER00525,男,27,普通
USER00526,女,25,会员
USER00527,男,37,普通
USER00528,男,44,普通
USER00529,女,22,普通
USER00530,女,56,普通
USER00531,男,63,普通
USER00532,女,18,普通
USER00533,男,54,普通
USER00534,男,51,会员
USER00535,男,51,普通
USER00536,男,42,会员
USER00537,男,58,普通
USER00538,女,34,会员
USER00539,女,22,普通
USER00540,男,55,会员
USER00541,女,26,普通
USER00542,女,59,普通
USER00543,女,62,普通
USER00544,男,26,普通
USER00545,女,20,普通
USER00546,男,30,会员
USER00547,女,37,普通
USER00548,女,34,普通
USER00549,男,36,普通
USER00550,男,59,普通
USER00551,男,41,普通
USER00552,女,65,普通
USER00553,女,39,会员
USER00554,女,62,普通
USER00555,女,23,会员
USER00556,男,45,普通
USER00557,男,52,普通
USER00558,男,23,普通
USER00559,女,37,普通
USER00560,女,28,普通
USER00561,女,46,普通
USER00562,女,57,会员
USER00563,女,58,会员
USER00564,男,22,普通
USER00565,女,41,普通
USER00566,男,19,普通
USER00567,女,20,普通
USER00568,男,59,普通
USER00569,女,54,普通
USER00570,男,61,普通
USER00571,女,41,普通
USER00572,男,54,普通
USER00573,女,43,普通
USER00574,女,33,会员
USER00575,男,65,普通
USER00576,女,53,普通
USER00577,女,63,普通
USER00578,女,62,会员
USER00579,女,30,普通
USER00580,男,46,普通
USER00581,女,23,会员
USER00582,女,60,普通
USER00583,男,53,普通
USER00584,女,28,会员
USER00585,男,41,普通
USER00586,男,30,会员
USER00587,男,49,普通
USER00588,女,47,会员
USER00589,男,57,会员
USER00590,男,37,普通
USER00591,女,51,普通
USER00592,女,54,普通
USER00593,女,59,普通
USER00594,女,61,普通
USER00595,男,53,普通
USER00596,男,26,普通
USER00597,男,25,普通
USER00598,女,28,普通
USER00599,男,40,会员
USER00600,女,23,普通
USER00601,女,26,普通
USER00602,男,50,普通
USER00603,男,28,普通
USER00604,女,54,普通
USER00605,男,23,普通
USER00606,女,59,普通
USER00607,女,57,普通
USER00608,女,58,普通
USER00609,女,48,普通
USER00610,女,37,普通
USER00611,男,28,普通
USER00612,女,47,普通
USER00613,男,38,会员
USER00614,女,64,会员
USER00615,女,43,普通
USER00616,女,50,普通
USER00617,女,33,普通
USER00618,女,46,普通
USER00619,男,21,普通
USER00620,女,57,普通
USER00621,男,38,会员
USER00622,女,30,会员
USER00623,女,50,普通
USER00624,女,49,普通
USER00625,女,50,普通
USER00626,男,31,普通
USER00627,男,21,普通
USER00628,女,36,普通
USER00629,男,45,普通
USER00630,女,64,普通
USER00631,女,41,普通
USER00632,男,54,普通
USER00633,女,53,普通
USER00634,女,50,普通
USER00635,女,57,普通
USER00636,男,26,会员
USER00637,女,41,会员
USER00638,女,53,会员
USER00639,男,30,普通
USER00640,女,50,普通
USER00641,男,26,会员
USER00642,女,51,普通
USER00643,男,38,会员
USER00644,女,28,普通
USER00645,女,55,普通
USER00646,女,63,普通
USER00647,女,19,普通
USER00648,男,44,普通
USER00649,男,56,普通
USER00650,男,64,普通
USER00651,女,28,普通
USER00652,女,27,会员
USER00653,男,20,普通
USER00654,男,30,普通
USER00655,女,44,普通
USER00656,男,44,普通
USER00657,女,65,会员
USER00658,男,51,普通
USER00659,女,60,普通
USER00660,女,38,会员
USER00661,女,52,普通
USER00662,女,61,会员
USER00663,女,57,普通
USER00664,男,35,普通
USER00665,男,37,会员
USER00666,男,62,会员
USER00667,女,48,普通
USER00668,女,36,普通
USER00669,女,43,会员
USER00670,男,36,普通
USER00671,男,40,会员
USER00672,女,65,普通
USER00673,男,52,普通
USER00674,女,26,普通
USER00675,男,33,普通
USER00676,男,58,普通
USER00677,男,44,普通
USER00678,女,24,普通
USER00679,男,18,会员
USER00680,男,44,普通
USER00681,女,48,普通
USER00682,女,38,普通
USER00683,男,23,普通
USER00684,男,52,会员
USER00685,男,29,普通
USER00686,男,20,会员
USER00687,女,49,普通
USER00688,女,20,普通
USER00689,男,39,普通
USER00690,女,26,会员
USER00691,女,35,普通
USER00692,男,39,普通
USER00693,女,59,普通
USER00694,男,18,会员
USER00695,女,54,普通
USER00696,男,29,普通
USER00697,女,45,普通
USER00698,男,43,普通
USER00699,男,26,普通
USER00700,男,18,普通
USER00701,男,46,会员
USER00702,女,37,普通
USER00703,男,34,普通
USER00704,男,21,普通
USER00705,女,37,普通
USER00706,女,62,普通
USER00707,女,41,普通
USER00708,男,26,普通
USER00709,女,65,会员
USER00710,女,44,会员
USER00711,女,52,会员
USER00712,男,33,普通
USER00713,男,51,普通
USER00714,女,22,会员
USER00715,男,21,会员
USER00716,男,54,普通
USER00717,男,38,会员
USER00718,女,25,普通
USER00719,女,23,会员
USER00720,女,21,普通
USER00721,女,47,普通
USER00722,女,61,会员
USER00723,男,43,普通
USER00724,男,65,普通
USER00725,男,20,普通
USER00726,男,52,会员
USER00727,男,48,普通
USER00728,女,29,会员
USER00729,女,41,会员
USER00730,女,46,会员
USER00731,女,42,普通
USER00732,男,59,会员
USER00733,男,29,会员
USER00734,女,51,普通
USER00735,男,18,会员
USER00736,女,47,普通
USER00737,女,52,普通
USER00738,男,33,普通
USER00739,男,35,普通
USER00740,男,20,会员
USER00741,女,57,会员
USER00742,男,33,普通
USER00743,男,56,普通
USER00744,男,33,会员
USER00745,女,46,普通
USER00746,男,21,普通
USER00747,女,32,会员
USER00748,女,54,普通
USER00749,女,33,普通
USER00750,男,60,普通
USER00751,女,37,普通
USER00752,男,58,普通
USER00753,女,21,会员
USER00754,女,51,普通
USER00755,女,44,普通
USER00756,女,29,会员
USER00757,女,33,会员
USER00758,女,63,普通
USER00759,女,21,普通
USER00760,女,53,普通
USER00761,女,33,普通
USER00762,女,59,普通
USER00763,女,41,普通
USER00764,男,21,普通
USER00765,男,22,普通
USER00766,男,48,普通
USER00767,女,37,会员
USER00768,男,31,会员
USER00769,男,65,会员
USER00770,女,33,普通
USER00771,男,43,会员
USER00772,女,36,普通
USER00773,女,37,普通
USER00774,女,47,普通
USER00775,女,38,会员
USER00776,女,38,普通
USER00777,男,65,普通
USER00778,女,53,会员
USER00779,女,36,普通
USER00780,女,32,普通
USER00781,男,49,普通
USER00782,女,34,会员
USER00783,女,64,普通
USER00784,女,47,普通
USER00785,女,28,普通
USER00786,女,29,会员
USER00787,男,51,普通
USER00788,男,60,普通
USER00789,男,44,普通
USER00790,男,22,会员
USER00791,男,31,普通
USER00792,女,21,普通
USER00793,女,60,普通
USER00794,男,52,普通
USER00795,男,19,普通
USER00796,女,52,会员
USER00797,男,50,会员
USER00798,女,29,普通
USER00799,男,51,普通
USER00800,男,57,普通
USER00801,女,35,会员
USER00802,男,41,会员
USER00803,女,54,普通
USER00804,男,37,普通
USER00805,男,59,会员
USER00806,男,23,普通
USER00807,女,53,普通
USER00808,男,62,普通
USER00809,女,45,普通
USER00810,女,54,会员
USER00811,男,51,会员
USER00812,男,31,会员
USER00813,女,35,普通
USER00814,男,61,会员
USER00815,男,29,会员
USER00816,女,19,会员
USER00817,男,63,会员
USER00818,男,37,普通
USER00819,男,54,会员
USER00820,女,61,会员
USER00821,女,42,会员
USER00822,男,62,会员
USER00823,女,21,普通
USER00824,男,22,普通
USER00825,女,38,普通
USER00826,女,46,普通
USER00827,女,53,会员
USER00828,女,29,普通
USER00829,女,23,会员
USER00830,女,33,会员
USER00831,男,35,普通
USER00832,男,65,普通
USER00833,女,24,普通
USER00834,女,46,普通
USER00835,女,24,普通
USER00836,男,45,普通
USER00837,女,24,普通
USER00838,女,53,普通
USER00839,女,42,普通
USER00840,女,42,会员
USER00841,男,54,普通
USER00842,女,28,普通
USER00843,女,35,普通
USER00844,男,28,普通
USER00845,女,37,普通
USER00846,男,41,普通
USER00847,男,64,普通
USER00848,男,47,普通
USER00849,女,18,会员
USER00850,女,57,普通
USER00851,女,46,普通
USER00852,男,37,普通
USER00853,男,48,普通
USER00854,女,38,普通
USER00855,女,54,会员
USER00856,女,42,普通
USER00857,女,41,普通
USER00858,男,55,会员
USER00859,男,61,会员
USER00860,男,64,普通
USER00861,男,46,会员
USER00862,男,44,普通
USER00863,男,58,普通
USER00864,女,60,普通
USER00865,女,42,普通
USER00866,女,55,普通
USER00867,女,52,普通
USER00868,女,62,会员
USER00869,男,24,会员
USER00870,女,28,普通
USER00871,男,54,会员
USER00872,女,39,会员
USER00873,女,24,普通
USER00874,女,32,普通
USER00875,男,46,普通
USER00876,女,61,普通
USER00877,男,40,会员
USER00878,女,24,普通
USER00879,男,25,会员
USER00880,男,40,普通
USER00881,女,31,普通
USER00882,女,48,普通
USER00883,女,38,普通
USER00884,男,63,普通
USER00885,女,59,普通
USER00886,男,65,普通
USER00887,男,53,普通
USER00888,女,47,普通
USER00889,女,58,普通
USER00890,女,43,普通
USER00891,男,46,普通
USER00892,女,18,会员
USER00893,男,35,会员
USER00894,男,54,普通
USER00895,男,41,普通
USER00896,女,25,普通
USER00897,女,51,会员
USER00898,女,56,普通
USER00899,女,55,普通
USER00900,女,47,普通
USER00901,女,57,普通
USER00902,男,38,普通
USER00903,女,25,普通
USER00904,男,50,普通
USER00905,男,54,普通
USER00906,男,49,普通
USER00907,男,53,普通
USER00908,女,26,普通
USER00909,女,57,普通
USER00910,女,18,普通
USER00911,男,42,会员
USER00912,女,44,普通
USER00913,女,63,会员
USER00914,女,28,普通
USER00915,男,32,普通
USER00916,女,32,普通
USER00917,男,47,普通
USER00918,女,53,普通
USER00919,男,35,会员
USER00920,女,52,会员
USER00921,男,64,普通
USER00922,男,45,普通
USER00923,男,37,会员
USER00924,男,46,普通
USER00925,男,46,会员
USER00926,男,33,普通
USER00927,女,63,普通
USER00928,女,28,普通
USER00929,男,31,会员
USER00930,女,52,普通
USER00931,男,38,会员
USER00932,女,36,普通
USER00933,男,26,会员
USER00934,女,21,会员
USER00935,男,62,会员
USER00936,男,27,会员
USER00937,男,61,普通
USER00938,男,54,普通
USER00939,女,42,普通
USER00940,男,43,普通
USER00941,女,62,会员
USER00942,女,47,会员
USER00943,女,55,普通
USER00944,男,64,会员
USER00945,女,22,会员
USER00946,女,31,会员
USER00947,男,49,普通
USER00948,女,39,普通
USER00949,男,54,会员
USER00950,女,61,会员
USER00951,男,24,普通
USER00952,女,19,普通
USER00953,男,46,普通
USER00954,女,30,会员
USER00955,男,59,普通
USER00956,女,23,普通
USER00957,女,23,普通
USER00958,男,21,普通
USER00959,女,64,普通
USER00960,男,45,普通
USER00961,男,18,普通
USER00962,男,26,普通
USER00963,女,18,普通
USER00964,女,25,会员
USER00965,女,62,普通
USER00966,男,32,普通
USER00967,男,24,普通
USER00968,女,26,普通
USER00969,男,59,会员
USER00970,男,22,普通
USER00971,男,57,普通
USER00972,女,40,会员
USER00973,男,44,普通
USER00974,女,31,普通
USER00975,男,26,会员
USER00976,女,40,会员
USER00977,女,26,普通
USER00978,男,33,普通
USER00979,女,62,普通
USER00980,女,31,普通
USER00981,男,65,普通
USER00982,男,33,普通
USER00983,男,33,普通
USER00984,男,51,会员
USER00985,男,41,会员
USER00986,男,42,会员
USER00987,女,41,普通
USER00988,男,48,会员
USER00989,男,19,普通
USER00990,男,34,普通
USER00991,男,43,普通
USER00992,女,45,会员
USER00993,男,58,普通
USER00994,男,35,普通
USER00995,男,50,会员
USER00996,男,52,普通
USER00997,男,37,普通
USER00998,男,21,普通
USER00999,女,25,普通
USER01000,男,37,普通
USER01001,男,25,普通
USER01002,男,62,普通
USER01003,女,40,普通
USER01004,女,28,普通
USER01005,女,64,会员
USER01006,男,39,会员
USER01007,女,51,普通
USER01008,男,49,普通
USER01009,女,21,普通
USER01010,男,41,普通
USER01011,男,54,普通
USER01012,男,32,会员
USER01013,男,20,会员
USER01014,男,33,普通
USER01015,女,42,会员
USER01016,男,20,普通
USER01017,女,32,普通
USER01018,女,64,普通
USER01019,男,54,普通
USER01020,男,29,普通
USER01021,男,43,普通
USER01022,女,36,会员
USER01023,女,38,普通
USER01024,女,18,普通
USER01025,女,54,会员
USER01026,男,47,普通
USER01027,女,30,会员
USER01028,男,27,普通
USER01029,女,19,普通
USER01030,女,58,会员
USER01031,男,39,普通
USER01032,女,65,会员
USER01033,男,31,普通
USER01034,男,44,普通
USER01035,男,27,会员
USER01036,男,20,会员
USER01037,女,62,会员
USER01038,女,65,普通
USER01039,男,50,普通
USER01040,女,22,普通
USER01041,男,45,普通
USER01042,男,33,普通
USER01043,女,43,会员
USER01044,女,38,普通
USER01045,男,22,会员
USER01046,男,55,普通
USER01047,男,28,普通
USER01048,女,44,普通
USER01049,女,31,普通
USER01050,女,34,会员
USER01051,男,28,会员
USER01052,女,63,普通
USER01053,男,31,会员
USER01054,女,27,普通
USER01055,男,40,普通
USER01056,男,61,普通
USER01057,男,19,会员
USER01058,女,53,会员
USER01059,男,24,普通
USER01060,男,25,普通
USER01061,男,26,普通
USER01062,女,41,普通
USER01063,男,55,普通
USER01064,男,19,会员
USER01065,男,59,普通
USER01066,男,23,会员
USER01067,女,25,普通
USER01068,女,21,普通
USER01069,女,64,普通
USER01070,男,42,普通
USER01071,男,40,普通
USER01072,男,35,普通
USER01073,男,20,普通
USER01074,男,59,普通
USER01075,女,53,普通
USER01076,男,35,普通
USER01077,女,30,普通
USER01078,男,58,会员
USER01079,男,42,会员
USER01080,女,48,普通
USER01081,女,40,会员
USER01082,女,42,普通
USER01083,男,38,普通
USER01084,男,35,普通
USER01085,女,51,普通
USER01086,男,28,普通
USER01087,男,35,普通
USER01088,男,32,普通
USER01089,女,40,会员
USER01090,男,29,普通
USER01091,女,65,普通
USER01092,男,63,会员
USER01093,男,54,会员
USER01094,女,52,普通
USER01095,女,20,普通
USER01096,男,56,普通
USER01097,女,18,普通
USER01098,男,26,普通
USER01099,男,38,普通
USER01100,男,55,会员
USER01101,男,25,会员
USER01102,女,22,普通
USER01103,女,55,普通
USER01104,女,38,普通
USER01105,男,64,会员
USER01106,女,59,普通
USER01107,女,32,普通
USER01108,男,42,普通
USER01109,女,26,普通
USER01110,男,62,会员
USER01111,女,54,普通
USER01112,女,57,普通
USER01113,男,49,普通
USER01114,男,33,普通
USER01115,女,28,普通
USER01116,男,63,普通
USER01117,女,46,普通
USER01118,男,33,普通
USER01119,女,34,会员
USER01120,男,21,普通
USER01121,女,28,会员
USER01122,女,42,普通
USER01123,女,24,会员
USER01124,男,28,普通
USER01125,男,36,普通
USER01126,女,24,普通
USER01127,男,42,普通
USER01128,男,53,会员
USER01129,男,39,普通
USER01130,女,63,普通
USER01131,男,56,会员
USER01132,男,21,普通
USER01133,男,30,普通
USER01134,女,60,普通
USER01135,男,24,普通
USER01136,女,27,普通
USER01137,男,45,普通
USER01138,女,30,普通
USER01139,男,28,普通
USER01140,男,48,会员
USER01141,女,43,普通
USER01142,女,23,普通
USER01143,女,29,普通
USER01144,女,41,普通
USER01145,男,34,普通
USER01146,女,32,会员
USER01147,男,27,会员
USER01148,男,23,普通
USER01149,女,55,普通
USER01150,男,42,会员
USER01151,女,52,普通
USER01152,女,54,会员
USER01153,女,37,普通
USER01154,男,50,普通
USER01155,男,25,会员
USER01156,女,29,会员
USER01157,男,31,会员
USER01158,男,20,普通
USER01159,女,30,会员
USER01160,男,56,普通
USER01161,男,23,普通
USER01162,女,53,普通
USER01163,女,51,普通
