bike_id,bike_type,status
BIKE00106,普通车,正常
BIKE00107,普通车,正常
BIKE00108,普通车,正常
BIKE00109,助力车,维修
BIKE00110,普通车,正常
BIKE00111,普通车,维修
BIKE00112,普通车,正常
BIKE00113,普通车,正常
BIKE00114,普通车,正常
BIKE00115,助力车,正常
BIKE00116,普通车,正常
BIKE00117,普通车,正常
BIKE00118,普通车,正常
BIKE00119,普通车,正常
BIKE00120,助力车,正常
BIKE00121,普通车,正常
BIKE00122,助力车,正常
BIKE00123,普通车,正常
BIKE00124,普通车,正常
BIKE00125,普通车,正常
BIKE00126,普通车,损坏
BIKE00127,普通车,正常
BIKE00128,普通车,维修
BIKE00129,普通车,正常
BIKE00130,助力车,正常
BIKE00131,普通车,正常
BIKE00132,助力车,正常
BIKE00133,普通车,正常
BIKE00134,普通车,正常
BIKE00135,普通车,正常
BIKE00136,普通车,正常
BIKE00137,普通车,正常
BIKE00138,普通车,正常
BIKE00139,普通车,正常
BIKE00140,普通车,正常
BIKE00141,普通车,正常
BIKE00142,普通车,正常
BIKE00143,普通车,维修
BIKE00144,助力车,正常
BIKE00145,普通车,正常
BIKE00146,助力车,正常
BIKE00147,助力车,正常
BIKE00148,助力车,正常
BIKE00149,普通车,维修
BIKE00150,助力车,正常
BIKE00151,普通车,正常
BIKE00152,普通车,正常
BIKE00153,普通车,正常
BIKE00154,普通车,正常
BIKE00155,助力车,正常
BIKE00156,普通车,正常
BIKE00157,普通车,正常
BIKE00158,普通车,正常
BIKE00159,普通车,正常
BIKE00160,普通车,正常
BIKE00161,普通车,正常
BIKE00162,助力车,正常
BIKE00163,助力车,正常
BIKE00164,普通车,正常
BIKE00165,普通车,正常
BIKE00166,普通车,正常
BIKE00167,普通车,正常
BIKE00168,普通车,正常
BIKE00169,普通车,正常
BIKE00170,普通车,正常
BIKE00171,普通车,正常
BIKE00172,普通车,正常
BIKE00173,普通车,维修
BIKE00174,普通车,正常
BIKE00175,普通车,正常
BIKE00176,助力车,正常
BIKE00177,普通车,正常
BIKE00178,普通车,正常
BIKE00179,助力车,正常
BIKE00180,普通车,正常
BIKE00181,助力车,正常
BIKE00182,助力车,正常
BIKE00183,普通车,正常
BIKE00184,助力车,正常
BIKE00185,助力车,正常
BIKE00186,普通车,正常
BIKE00187,普通车,正常
BIKE00188,普通车,正常
BIKE00189,普通车,正常
BIKE00190,普通车,正常
BIKE00191,普通车,正常
BIKE00192,助力车,正常
BIKE00193,助力车,正常
BIKE00194,普通车,正常
BIKE00195,普通车,维修
BIKE00196,普通车,正常
BIKE00197,普通车,正常
BIKE00198,普通车,正常
BIKE00199,助力车,正常
BIKE00200,普通车,正常
BIKE00201,普通车,正常
BIKE00202,助力车,正常
BIKE00203,普通车,正常
BIKE00204,普通车,正常
BIKE00205,普通车,正常
BIKE00206,普通车,正常
BIKE00207,助力车,正常
BIKE00208,普通车,正常
BIKE00209,普通车,正常
BIKE00210,助力车,正常
BIKE00211,普通车,正常
BIKE00212,普通车,正常
BIKE00213,普通车,正常
BIKE00214,普通车,正常
BIKE00215,助力车,维修
BIKE00216,普通车,正常
BIKE00217,普通车,正常
BIKE00218,普通车,正常
BIKE00219,普通车,正常
BIKE00220,普通车,正常
BIKE00221,普通车,正常
BIKE00222,普通车,正常
BIKE00223,助力车,损坏
BIKE00224,普通车,正常
BIKE00225,普通车,损坏
BIKE00226,助力车,正常
BIKE00227,普通车,正常
BIKE00228,普通车,正常
BIKE00229,普通车,正常
BIKE00230,普通车,正常
BIKE00231,普通车,正常
BIKE00232,普通车,正常
BIKE00233,助力车,正常
BIKE00234,普通车,正常
BIKE00235,普通车,正常
BIKE00236,普通车,正常
BIKE00237,普通车,正常
BIKE00238,助力车,正常
BIKE00239,普通车,正常
BIKE00240,助力车,正常
BIKE00241,普通车,正常
BIKE00242,普通车,正常
BIKE00243,助力车,正常
BIKE00244,普通车,损坏
BIKE00245,普通车,正常
BIKE00246,普通车,正常
BIKE00247,助力车,正常
BIKE00248,普通车,正常
BIKE00249,普通车,正常
BIKE00250,普通车,维修
BIKE00251,普通车,正常
BIKE00252,助力车,正常
BIKE00253,普通车,正常
BIKE00254,普通车,正常
BIKE00255,普通车,正常
BIKE00256,普通车,维修
BIKE00257,助力车,正常
BIKE00258,普通车,维修
BIKE00259,普通车,正常
BIKE00260,助力车,正常
BIKE00261,助力车,正常
BIKE00262,普通车,正常
BIKE00263,助力车,正常
BIKE00264,普通车,正常
BIKE00265,助力车,正常
BIKE00266,普通车,正常
BIKE00267,普通车,正常
BIKE00268,普通车,正常
BIKE00269,助力车,正常
BIKE00270,助力车,正常
BIKE00271,普通车,正常
BIKE00272,普通车,正常
BIKE00273,普通车,正常
BIKE00274,普通车,正常
BIKE00275,助力车,正常
BIKE00276,普通车,正常
BIKE00277,普通车,维修
BIKE00278,助力车,正常
BIKE00279,普通车,维修
BIKE00280,普通车,正常
BIKE00281,助力车,维修
BIKE00282,普通车,正常
BIKE00283,助力车,正常
BIKE00284,普通车,正常
BIKE00285,普通车,正常
BIKE00286,普通车,正常
BIKE00287,普通车,正常
BIKE00288,普通车,正常
BIKE00289,助力车,正常
BIKE00290,助力车,正常
BIKE00291,普通车,正常
BIKE00292,普通车,正常
BIKE00293,普通车,正常
BIKE00294,助力车,维修
BIKE00295,普通车,正常
BIKE00296,普通车,正常
BIKE00297,助力车,正常
BIKE00298,普通车,正常
BIKE00299,普通车,正常
BIKE00300,助力车,正常
BIKE00301,普通车,正常
BIKE00302,普通车,正常
BIKE00303,普通车,正常
BIKE00304,助力车,正常
BIKE00305,助力车,正常
BIKE00306,普通车,正常
BIKE00307,普通车,正常
BIKE00308,助力车,正常
BIKE00309,助力车,正常
BIKE00310,普通车,正常
BIKE00311,助力车,正常
BIKE00312,助力车,正常
BIKE00313,助力车,正常
BIKE00314,助力车,正常
BIKE00315,普通车,正常
BIKE00316,助力车,正常
BIKE00317,普通车,正常
BIKE00318,普通车,正常
BIKE00319,普通车,正常
BIKE00320,助力车,正常
BIKE00321,普通车,正常
BIKE00322,助力车,正常
BIKE00323,普通车,正常
BIKE00324,普通车,正常
BIKE00325,普通车,正常
BIKE00326,普通车,正常
BIKE00327,普通车,正常
BIKE00328,普通车,正常
BIKE00329,普通车,正常
BIKE00330,普通车,正常
BIKE00331,普通车,正常
BIKE00332,助力车,正常
BIKE00333,普通车,正常
BIKE00334,助力车,正常
BIKE00335,普通车,正常
BIKE00336,助力车,正常
BIKE00337,普通车,正常
BIKE00338,普通车,正常
BIKE00339,普通车,正常
BIKE00340,普通车,正常
BIKE00341,普通车,损坏
BIKE00342,助力车,损坏
BIKE00343,普通车,正常
BIKE00344,助力车,正常
BIKE00345,普通车,正常
BIKE00346,普通车,正常
BIKE00347,普通车,正常
BIKE00348,助力车,正常
BIKE00349,普通车,正常
BIKE00350,助力车,正常
BIKE00351,助力车,正常
BIKE00352,助力车,正常
BIKE00353,普通车,正常
BIKE00354,普通车,正常
BIKE00355,助力车,维修
BIKE00356,助力车,正常
BIKE00357,普通车,维修
BIKE00358,助力车,正常
BIKE00359,普通车,正常
BIKE00360,普通车,正常
BIKE00361,普通车,正常
BIKE00362,助力车,正常
BIKE00363,普通车,正常
BIKE00364,普通车,正常
BIKE00365,助力车,正常
BIKE00366,普通车,正常
BIKE00367,普通车,正常
BIKE00368,普通车,正常
BIKE00369,普通车,正常
BIKE00370,助力车,维修
BIKE00371,助力车,正常
BIKE00372,助力车,正常
BIKE00373,助力车,维修
BIKE00374,助力车,正常
BIKE00375,普通车,损坏
BIKE00376,助力车,正常
BIKE00377,普通车,正常
BIKE00378,普通车,正常
BIKE00379,普通车,损坏
BIKE00380,助力车,正常
BIKE00381,普通车,正常
BIKE00382,普通车,正常
BIKE00383,助力车,正常
BIKE00384,普通车,正常
BIKE00385,普通车,正常
BIKE00386,普通车,正常
BIKE00387,普通车,正常
BIKE00388,普通车,正常
BIKE00389,普通车,正常
BIKE00390,助力车,正常
BIKE00391,助力车,正常
BIKE00392,助力车,正常
BIKE00393,普通车,维修
BIKE00394,普通车,正常
BIKE00395,普通车,正常
BIKE00396,助力车,正常
BIKE00397,助力车,正常
BIKE00398,助力车,正常
BIKE00399,普通车,正常
BIKE00400,普通车,正常
BIKE00401,助力车,维修
BIKE00402,普通车,维修
BIKE00403,普通车,正常
BIKE00404,普通车,正常
BIKE00405,助力车,正常
BIKE00406,助力车,正常
BIKE00407,助力车,正常
BIKE00408,普通车,正常
BIKE00409,助力车,正常
BIKE00410,普通车,维修
BIKE00411,普通车,正常
BIKE00412,普通车,正常
BIKE00413,普通车,正常
BIKE00414,普通车,正常
BIKE00415,普通车,正常
BIKE00416,普通车,正常
BIKE00417,普通车,正常
BIKE00418,普通车,正常
BIKE00419,助力车,正常
BIKE00420,助力车,正常
BIKE00421,助力车,正常
BIKE00422,普通车,正常
BIKE00423,助力车,维修
BIKE00424,助力车,正常
BIKE00425,普通车,正常
BIKE00426,助力车,正常
BIKE00427,助力车,正常
BIKE00428,普通车,正常
BIKE00429,普通车,正常
BIKE00430,普通车,正常
BIKE00431,普通车,正常
BIKE00432,助力车,正常
BIKE00433,普通车,正常
BIKE00434,助力车,正常
BIKE00435,普通车,正常
BIKE00436,普通车,正常
BIKE00437,助力车,正常
BIKE00438,助力车,正常
BIKE00439,普通车,正常
BIKE00440,普通车,正常
BIKE00441,普通车,正常
BIKE00442,普通车,维修
BIKE00443,普通车,正常
BIKE00444,普通车,维修
BIKE00445,普通车,正常
BIKE00446,助力车,正常
BIKE00447,普通车,维修
BIKE00448,普通车,正常
BIKE00449,普通车,正常
BIKE00450,普通车,正常
BIKE00451,普通车,正常
BIKE00452,助力车,正常
BIKE00453,普通车,维修
BIKE00454,普通车,损坏
BIKE00455,普通车,正常
BIKE00456,普通车,维修
BIKE00457,助力车,正常
BIKE00458,普通车,正常
BIKE00459,助力车,正常
BIKE00460,普通车,正常
BIKE00461,普通车,正常
BIKE00462,普通车,维修
BIKE00463,普通车,正常
BIKE00464,普通车,正常
BIKE00465,普通车,正常
BIKE00466,普通车,正常
BIKE00467,普通车,正常
BIKE00468,普通车,正常
BIKE00469,助力车,正常
BIKE00470,普通车,正常
BIKE00471,普通车,正常
BIKE00472,普通车,正常
BIKE00473,助力车,正常
BIKE00474,普通车,正常
BIKE00475,普通车,正常
BIKE00476,普通车,正常
BIKE00477,普通车,正常
BIKE00478,助力车,正常
BIKE00479,普通车,正常
BIKE00480,普通车,正常
BIKE00481,普通车,正常
BIKE00482,普通车,正常
BIKE00483,普通车,正常
BIKE00484,普通车,正常
BIKE00485,助力车,正常
BIKE00486,普通车,正常
BIKE00487,助力车,正常
BIKE00488,助力车,正常
BIKE00489,普通车,正常
BIKE00490,普通车,正常
BIKE00491,助力车,正常
BIKE00492,助力车,正常
BIKE00493,普通车,正常
BIKE00494,普通车,正常
BIKE00495,助力车,正常
BIKE00496,助力车,正常
BIKE00497,普通车,正常
BIKE00498,普通车,正常
BIKE00499,普通车,维修
BIKE00500,普通车,正常
BIKE00501,普通车,正常
BIKE00502,普通车,正常
BIKE00503,普通车,正常
BIKE00504,助力车,正常
BIKE00505,普通车,正常
BIKE00506,普通车,正常
BIKE00507,普通车,正常
BIKE00508,普通车,正常
BIKE00509,普通车,正常
BIKE00510,普通车,正常
BIKE00511,普通车,正常
BIKE00512,普通车,维修
BIKE00513,普通车,正常
BIKE00514,助力车,正常
BIKE00515,助力车,正常
BIKE00516,普通车,正常
BIKE00517,普通车,正常
BIKE00518,普通车,正常
BIKE00519,普通车,维修
BIKE00520,助力车,正常
BIKE00521,助力车,正常
BIKE00522,普通车,正常
BIKE00523,普通车,正常
BIKE00524,普通车,正常
BIKE00525,普通车,正常
BIKE00526,普通车,正常
BIKE00527,助力车,正常
BIKE00528,普通车,正常
BIKE00529,普通车,正常
BIKE00530,普通车,正常
BIKE00531,普通车,正常
BIKE00532,普通车,正常
BIKE00533,普通车,正常
BIKE00534,普通车,正常
BIKE00535,普通车,正常
BIKE00536,助力车,正常
BIKE00537,普通车,维修
BIKE00538,普通车,维修
BIKE00539,普通车,维修
BIKE00540,助力车,正常
BIKE00541,助力车,正常
BIKE00542,普通车,正常
BIKE00543,普通车,正常
BIKE00544,助力车,正常
BIKE00545,普通车,正常
BIKE00546,助力车,正常
BIKE00547,助力车,维修
BIKE00548,助力车,正常
BIKE00549,普通车,正常
BIKE00550,普通车,正常
BIKE00551,普通车,正常
BIKE00552,普通车,正常
BIKE00553,普通车,正常
BIKE00554,普通车,正常
BIKE00555,普通车,正常
BIKE00556,普通车,正常
BIKE00557,普通车,正常
BIKE00558,普通车,正常
BIKE00559,助力车,正常
BIKE00560,助力车,正常
BIKE00561,助力车,正常
BIKE00562,普通车,正常
BIKE00563,普通车,正常
BIKE00564,普通车,维修
BIKE00565,助力车,正常
BIKE00566,普通车,维修
BIKE00567,普通车,正常
BIKE00568,普通车,正常
BIKE00569,普通车,正常
BIKE00570,普通车,维修
BIKE00571,普通车,正常
BIKE00572,普通车,正常
BIKE00573,普通车,正常
BIKE00574,助力车,正常
BIKE00575,助力车,正常
BIKE00576,助力车,正常
BIKE00577,普通车,正常
BIKE00578,普通车,正常
BIKE00579,助力车,正常
BIKE00580,普通车,正常
BIKE00581,助力车,正常
BIKE00582,普通车,正常
BIKE00583,助力车,正常
BIKE00584,助力车,维修
BIKE00585,助力车,正常
BIKE00586,普通车,正常
BIKE00587,普通车,正常
BIKE00588,普通车,正常
BIKE00589,普通车,正常
BIKE00590,助力车,正常
BIKE00591,普通车,正常
BIKE00592,普通车,正常
BIKE00593,助力车,正常
BIKE00594,助力车,正常
BIKE00595,普通车,正常
BIKE00596,助力车,正常
BIKE00597,普通车,正常
BIKE00598,普通车,正常
BIKE00599,普通车,正常
BIKE00600,助力车,正常
BIKE00601,助力车,正常
BIKE00602,普通车,正常
BIKE00603,普通车,正常
BIKE00604,助力车,正常
BIKE00605,助力车,正常
BIKE00606,普通车,维修
BIKE00607,普通车,正常
BIKE00608,普通车,正常
BIKE00609,普通车,正常
BIKE00610,普通车,正常
BIKE00611,普通车,正常
BIKE00612,普通车,正常
BIKE00613,助力车,正常
BIKE00614,普通车,正常
BIKE00615,普通车,维修
BIKE00616,普通车,维修
BIKE00617,普通车,正常
BIKE00618,助力车,正常
BIKE00619,普通车,正常
BIKE00620,助力车,正常
BIKE00621,助力车,正常
BIKE00622,助力车,维修
BIKE00623,普通车,正常
BIKE00624,助力车,正常
BIKE00625,普通车,正常
BIKE00626,助力车,正常
BIKE00627,普通车,正常
BIKE00628,助力车,正常
BIKE00629,普通车,正常
BIKE00630,普通车,正常
BIKE00631,助力车,正常
BIKE00632,普通车,正常
BIKE00633,普通车,正常
BIKE00634,普通车,正常
BIKE00635,普通车,正常
BIKE00636,普通车,正常
BIKE00637,普通车,正常
BIKE00638,助力车,正常
BIKE00639,普通车,正常
BIKE00640,普通车,正常
BIKE00641,普通车,正常
BIKE00642,普通车,正常
BIKE00643,普通车,正常
BIKE00644,普通车,损坏
BIKE00645,普通车,正常
BIKE00646,助力车,正常
BIKE00647,普通车,正常
BIKE00648,普通车,正常
BIKE00649,助力车,正常
BIKE00650,普通车,正常
BIKE00651,普通车,正常
BIKE00652,助力车,正常
BIKE00653,普通车,正常
BIKE00654,普通车,正常
BIKE00655,助力车,正常
BIKE00656,助力车,正常
BIKE00657,普通车,正常
BIKE00658,助力车,维修
BIKE00659,普通车,正常
BIKE00660,普通车,正常
BIKE00661,普通车,维修
BIKE00662,普通车,维修
BIKE00663,普通车,正常
BIKE00664,普通车,正常
BIKE00665,助力车,正常
BIKE00666,普通车,维修
BIKE00667,普通车,维修
BIKE00668,普通车,正常
BIKE00669,助力车,正常
BIKE00670,普通车,正常
BIKE00671,助力车,正常
BIKE00672,普通车,正常
BIKE00673,助力车,正常
BIKE00674,普通车,正常
BIKE00675,普通车,正常
BIKE00676,普通车,正常
BIKE00677,普通车,正常
BIKE00678,助力车,正常
BIKE00679,普通车,维修
BIKE00680,普通车,正常
BIKE00681,助力车,正常
BIKE00682,普通车,正常
BIKE00683,普通车,正常
BIKE00684,普通车,正常
BIKE00685,助力车,正常
BIKE00686,普通车,正常
BIKE00687,助力车,正常
BIKE00688,助力车,正常
BIKE00689,普通车,正常
BIKE00690,普通车,正常
BIKE00691,助力车,正常
BIKE00692,普通车,正常
BIKE00693,助力车,正常
BIKE00694,助力车,正常
BIKE00695,助力车,正常
BIKE00696,助力车,正常
BIKE00697,普通车,正常
BIKE00698,助力车,正常
BIKE00699,普通车,正常
BIKE00700,普通车,正常
BIKE00701,助力车,正常
BIKE00702,助力车,正常
BIKE00703,普通车,正常
BIKE00704,普通车,正常
BIKE00705,助力车,正常
BIKE00706,普通车,正常
BIKE00707,普通车,正常
BIKE00708,助力车,正常
BIKE00709,助力车,正常
BIKE00710,普通车,正常
BIKE00711,普通车,正常
BIKE00712,助力车,正常
BIKE00713,普通车,正常
BIKE00714,普通车,正常
BIKE00715,普通车,正常
BIKE00716,普通车,正常
BIKE00717,普通车,正常
BIKE00718,普通车,正常
BIKE00719,助力车,正常
BIKE00720,普通车,正常
BIKE00721,普通车,正常
BIKE00722,助力车,正常
BIKE00723,助力车,正常
BIKE00724,普通车,正常
BIKE00725,助力车,正常
BIKE00726,普通车,正常
BIKE00727,普通车,正常
BIKE00728,普通车,正常
BIKE00729,普通车,正常
BIKE00730,普通车,正常
BIKE00731,助力车,损坏
BIKE00732,普通车,维修
BIKE00733,普通车,维修
BIKE00734,普通车,正常
BIKE00735,普通车,正常
BIKE00736,普通车,正常
BIKE00737,普通车,正常
BIKE00738,普通车,正常
BIKE00739,助力车,正常
BIKE00740,助力车,维修
BIKE00741,普通车,正常
BIKE00742,普通车,正常
BIKE00743,普通车,正常
BIKE00744,普通车,正常
BIKE00745,普通车,正常
BIKE00746,普通车,正常
BIKE00747,普通车,正常
BIKE00748,普通车,正常
BIKE00749,普通车,正常
BIKE00750,普通车,正常
BIKE00751,助力车,正常
BIKE00752,助力车,正常
BIKE00753,普通车,维修
BIKE00754,普通车,正常
BIKE00755,普通车,正常
BIKE00756,普通车,正常
BIKE00757,助力车,正常
BIKE00758,普通车,正常
BIKE00759,普通车,正常
BIKE00760,普通车,正常
BIKE00761,普通车,正常
BIKE00762,普通车,正常
BIKE00763,普通车,正常
BIKE00764,助力车,正常
BIKE00765,普通车,正常
BIKE00766,普通车,正常
BIKE00767,普通车,正常
BIKE00768,助力车,维修
BIKE00769,普通车,正常
BIKE00770,普通车,正常
BIKE00771,普通车,正常
BIKE00772,助力车,正常
BIKE00773,助力车,正常
BIKE00774,普通车,正常
BIKE00775,普通车,正常
BIKE00776,普通车,正常
BIKE00777,普通车,正常
BIKE00778,普通车,正常
BIKE00779,普通车,正常
BIKE00780,普通车,正常
BIKE00781,助力车,正常
BIKE00782,普通车,正常
BIKE00783,普通车,正常
BIKE00784,助力车,正常
BIKE00785,普通车,正常
BIKE00786,普通车,维修
BIKE00787,普通车,正常
BIKE00788,普通车,正常
BIKE00789,助力车,正常
BIKE00790,助力车,正常
BIKE00791,普通车,正常
BIKE00792,助力车,正常
BIKE00793,普通车,正常
BIKE00794,普通车,正常
BIKE00795,助力车,维修
BIKE00796,普通车,正常
BIKE00797,助力车,正常
BIKE00798,助力车,正常
BIKE00799,普通车,正常
BIKE00800,普通车,正常
BIKE00801,普通车,正常
BIKE00802,助力车,正常
BIKE00803,助力车,正常
BIKE00804,普通车,正常
BIKE00805,普通车,正常
BIKE00806,助力车,正常
BIKE00807,普通车,正常
BIKE00808,普通车,正常
BIKE00809,普通车,正常
BIKE00810,助力车,正常
BIKE00811,助力车,正常
BIKE00812,普通车,正常
BIKE00813,普通车,正常
BIKE00814,助力车,正常
BIKE00815,普通车,正常
BIKE00816,普通车,正常
BIKE00817,普通车,正常
BIKE00818,普通车,正常
BIKE00819,普通车,正常
BIKE00820,助力车,正常
BIKE00821,普通车,正常
BIKE00822,普通车,正常
BIKE00823,助力车,损坏
BIKE00824,普通车,维修
BIKE00825,助力车,正常
BIKE00826,助力车,正常
BIKE00827,助力车,正常
BIKE00828,普通车,正常
BIKE00829,普通车,正常
BIKE00830,普通车,正常
BIKE00831,普通车,维修
BIKE00832,助力车,正常
BIKE00833,普通车,正常
BIKE00834,助力车,正常
BIKE00835,普通车,正常
BIKE00836,普通车,正常
BIKE00837,普通车,正常
BIKE00838,普通车,正常
BIKE00839,普通车,正常
BIKE00840,助力车,正常
BIKE00841,普通车,正常
BIKE00842,助力车,正常
BIKE00843,普通车,正常
BIKE00844,普通车,正常
BIKE00845,普通车,正常
BIKE00846,普通车,正常
BIKE00847,普通车,维修
BIKE00848,助力车,正常
BIKE00849,助力车,正常
BIKE00850,助力车,维修
BIKE00851,普通车,正常
BIKE00852,助力车,维修
BIKE00853,普通车,正常
BIKE00854,助力车,正常
BIKE00855,普通车,正常
BIKE00856,普通车,正常
BIKE00857,普通车,正常
BIKE00858,普通车,正常
BIKE00859,普通车,正常
BIKE00860,普通车,正常
BIKE00861,普通车,正常
BIKE00862,助力车,正常
BIKE00863,助力车,正常
BIKE00864,普通车,正常
BIKE00865,普通车,正常
BIKE00866,普通车,维修
BIKE00867,普通车,正常
BIKE00868,普通车,正常
BIKE00869,普通车,正常
BIKE00870,普通车,正常
BIKE00871,助力车,维修
BIKE00872,普通车,正常
BIKE00873,普通车,维修
BIKE00874,助力车,正常
BIKE00875,普通车,正常
BIKE00876,普通车,正常
BIKE00877,普通车,正常
BIKE00878,普通车,正常
BIKE00879,助力车,维修
BIKE00880,普通车,正常
BIKE00881,普通车,正常
BIKE00882,助力车,正常
BIKE00883,普通车,正常
BIKE00884,普通车,正常
BIKE00885,普通车,正常
BIKE00886,助力车,正常
BIKE00887,助力车,正常
BIKE00888,助力车,正常
BIKE00889,普通车,正常
BIKE00890,普通车,正常
BIKE00891,助力车,正常
BIKE00892,助力车,正常
BIKE00893,普通车,正常
BIKE00894,助力车,正常
BIKE00895,助力车,正常
BIKE00896,普通车,维修
BIKE00897,助力车,正常
BIKE00898,助力车,损坏
BIKE00899,助力车,正常
BIKE00900,助力车,正常
BIKE00901,普通车,正常
BIKE00902,普通车,正常
BIKE00903,普通车,正常
BIKE00904,普通车,正常
BIKE00905,普通车,正常
BIKE00906,普通车,正常
BIKE00907,助力车,正常
BIKE00908,普通车,正常
BIKE00909,普通车,正常
BIKE00910,助力车,正常
BIKE00911,普通车,维修
BIKE00912,普通车,正常
BIKE00913,普通车,正常
BIKE00914,助力车,正常
BIKE00915,普通车,正常
BIKE00916,助力车,正常
BIKE00917,普通车,正常
BIKE00918,普通车,正常
BIKE00919,助力车,维修
BIKE00920,普通车,正常
BIKE00921,助力车,正常
BIKE00922,助力车,正常
BIKE00923,普通车,正常
BIKE00924,助力车,正常
BIKE00925,助力车,正常
BIKE00926,助力车,正常
BIKE00927,普通车,正常
BIKE00928,普通车,正常
BIKE00929,助力车,正常
BIKE00930,普通车,正常
BIKE00931,助力车,正常
BIKE00932,普通车,正常
BIKE00933,普通车,正常
BIKE00934,普通车,维修
BIKE00935,普通车,正常
BIKE00936,助力车,正常
BIKE00937,普通车,正常
BIKE00938,普通车,正常
BIKE00939,普通车,正常
BIKE00940,普通车,正常
BIKE00941,助力车,正常
BIKE00942,普通车,正常
BIKE00943,普通车,正常
BIKE00944,普通车,正常
BIKE00945,普通车,正常
BIKE00946,普通车,正常
BIKE00947,普通车,正常
BIKE00948,助力车,正常
BIKE00949,助力车,正常
BIKE00950,普通车,正常
BIKE00951,普通车,正常
BIKE00952,普通车,正常
BIKE00953,助力车,正常
BIKE00954,助力车,正常
BIKE00955,普通车,正常
BIKE00956,普通车,正常
BIKE00957,助力车,正常
BIKE00958,普通车,正常
BIKE00959,助力车,正常
BIKE00960,助力车,正常
BIKE00961,普通车,正常
BIKE00962,普通车,正常
BIKE00963,助力车,正常
BIKE00964,助力车,正常
BIKE00965,普通车,正常
BIKE00966,普通车,正常
BIKE00967,普通车,正常
BIKE00968,普通车,正常
BIKE00969,普通车,正常
BIKE00970,助力车,损坏
BIKE00971,助力车,正常
BIKE00972,普通车,维修
BIKE00973,普通车,正常
BIKE00974,普通车,维修
BIKE00975,助力车,正常
BIKE00976,普通车,正常
BIKE00977,助力车,正常
BIKE00978,普通车,正常
BIKE00979,助力车,维修
BIKE00980,普通车,正常
BIKE00981,普通车,正常
BIKE00982,普通车,维修
BIKE00983,普通车,正常
BIKE00984,助力车,正常
BIKE00985,助力车,正常
BIKE00986,普通车,正常
BIKE00987,普通车,正常
BIKE00988,普通车,正常
BIKE00989,普通车,正常
BIKE00990,助力车,正常
BIKE00991,普通车,正常
BIKE00992,助力车,正常
BIKE00993,助力车,正常
BIKE00994,助力车,正常
BIKE00995,普通车,正常
BIKE00996,普通车,正常
